Steps,Time (ns),RMSD_rec,RMSD_lig
0.0,0.0,1.1747313106010273,1.1742946407673092
1.0,4e-06,1.1774552342636437,1.1981210901859245
2.0,8e-06,1.147065859980829,1.1657086591097003
3.0,1.2e-05,1.1492754488281383,1.1377757685399208
4.0,1.6e-05,1.120071023987508,1.1584571396015313
5.0,1.9999999999999998e-05,1.163630863235259,1.189896149326863
6.0,2.4e-05,1.183399117699227,1.16338154731132
7.0,2.8e-05,1.1561558537802965,1.160737786281453
8.0,3.2e-05,1.1477282972919332,1.1486407737971516
9.0,3.6e-05,1.181754246804494,1.1230166122732623
10.0,3.9999999999999996e-05,1.1468736632651382,1.114774633863373
11.0,4.4e-05,1.1406510183443206,1.094293127504181
12.0,4.8e-05,1.1178264296563,1.1315709966080876
13.0,5.2e-05,1.1696816544052933,1.1181007203911695
14.0,5.6e-05,1.1415079197411346,1.1084684378085665
15.0,5.9999999999999995e-05,1.1211482877110999,1.0846203864919735
16.0,6.4e-05,1.0983577209564281,1.0818252261333874
17.0,6.8e-05,1.063277135513971,1.06821520881346
18.0,7.2e-05,1.1317522267662388,1.12496806786967
19.0,7.599999999999999e-05,1.1581438580347514,1.075694382129009
20.0,7.999999999999999e-05,1.1272883103214464,1.1027603129847106
21.0,8.4e-05,1.0965590524470572,1.1301819876534975
22.0,8.8e-05,1.0682261326898939,1.1388771474495742
23.0,9.2e-05,1.0664294447194482,1.1091630887426043
24.0,9.6e-05,1.0703337485710476,1.0797886636513851
25.0,9.999999999999999e-05,1.0705627589425768,1.1146834609471792
26.0,0.000104,1.0939914194522566,1.0639055022178094
27.0,0.000108,1.1162116326390163,1.0102076020406774
28.0,0.000112,1.1205666656536413,1.0167901351887065
29.0,0.000116,1.0940277737965223,1.0522970771878233
30.0,0.00011999999999999999,1.0439714289724675,1.0649194887012081
31.0,0.000124,1.0978863221913628,1.0771000519168
32.0,0.000128,1.1556222571798258,1.029585960945746
33.0,0.00013199999999999998,1.1414659116235906,1.0408756599027085
34.0,0.000136,1.1524211842306462,1.0339129859597704
35.0,0.00014,1.1383268098820443,1.0446070063405968
36.0,0.000144,1.1327711833156948,1.0258251214795528
